,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
24021,2001-09-01,Slovenia,Russia,2,1,FIFA World Cup qualification,Ljubljana,Slovenia,False,Slovenia,1
24022,2001-09-01,Spain,Austria,4,0,FIFA World Cup qualification,Valencia,Spain,False,Spain,4
24023,2001-09-01,Switzerland,Serbia,1,2,FIFA World Cup qualification,Basel,Switzerland,False,Serbia,1
24024,2001-09-01,Thailand,Iran,0,0,FIFA World Cup qualification,Bangkok,Thailand,False,Draw,0
24025,2001-09-01,Trinidad and Tobago,Costa Rica,0,2,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,Costa Rica,2
24026,2001-09-01,USA,Honduras,2,3,FIFA World Cup qualification,Washington,USA,False,Honduras,1
24027,2001-09-01,Wales,Armenia,0,0,FIFA World Cup qualification,Cardiff,Wales,False,Draw,0
24028,2001-09-02,Jamaica,Mexico,1,2,FIFA World Cup qualification,Kingston,Jamaica,False,Mexico,1
24029,2001-09-04,Chile,Venezuela,0,2,FIFA World Cup qualification,Santiago,Chile,False,Venezuela,2
24030,2001-09-04,Peru,Uruguay,0,2,FIFA World Cup qualification,Lima,Peru,False,Uruguay,2
24031,2001-09-05,Argentina,Brazil,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,Argentina,1
24032,2001-09-05,Austria,Bosnia-Herzegovina,2,0,FIFA World Cup qualification,Vienna,Austria,False,Austria,2
24033,2001-09-05,Azerbaijan,Macedonia,1,1,FIFA World Cup qualification,Baku,Azerbaijan,False,Draw,0
24034,2001-09-05,Belarus,Poland,4,1,FIFA World Cup qualification,Minsk,Belarus,False,Belarus,3
24035,2001-09-05,Belgium,Scotland,2,0,FIFA World Cup qualification,Brussels,Belgium,False,Belgium,2
24036,2001-09-05,Bulgaria,Denmark,0,2,FIFA World Cup qualification,Sofia,Bulgaria,False,Denmark,2
24037,2001-09-05,Colombia,Ecuador,0,0,FIFA World Cup qualification,Bogotá,Colombia,False,Draw,0
24038,2001-09-05,Costa Rica,USA,2,0,FIFA World Cup qualification,San José,Costa Rica,False,Costa Rica,2
24039,2001-09-05,Cyprus,Portugal,1,3,FIFA World Cup qualification,Larnaca,Cyprus,False,Portugal,2
24040,2001-09-05,Czech Republic,Malta,3,2,FIFA World Cup qualification,Teplice,Czech Republic,False,Czech Republic,1
24041,2001-09-05,England,Albania,2,0,FIFA World Cup qualification,Newcastle,England,False,England,2
24042,2001-09-05,Faroe Islands,Russia,0,3,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,Russia,3
24043,2001-09-05,Finland,Greece,5,1,FIFA World Cup qualification,Helsinki,Finland,False,Finland,4
24044,2001-09-05,Georgia,Lithuania,2,0,FIFA World Cup qualification,Tbilisi,Georgia,False,Georgia,2
24045,2001-09-05,Honduras,Jamaica,1,0,FIFA World Cup qualification,Tegucigalpa,Honduras,False,Honduras,1
24046,2001-09-05,Hungary,Romania,0,2,FIFA World Cup qualification,Budapest,Hungary,False,Romania,2
24047,2001-09-05,Italy,Morocco,1,0,Friendly,Piacenza,Italy,False,Italy,1
24048,2001-09-05,Liechtenstein,Spain,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False,Spain,2
24049,2001-09-05,Luxembourg,Switzerland,0,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,Switzerland,3
24050,2001-09-05,Mexico,Trinidad and Tobago,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,3
24051,2001-09-05,Netherlands,Estonia,5,0,FIFA World Cup qualification,Eindhoven,Netherlands,False,Netherlands,5
24052,2001-09-05,Northern Ireland,Iceland,3,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,Northern Ireland,3
24053,2001-09-05,Norway,Wales,3,2,FIFA World Cup qualification,Oslo,Norway,False,Norway,1
24054,2001-09-05,Paraguay,Bolivia,5,1,FIFA World Cup qualification,Asunción,Paraguay,False,Paraguay,4
24055,2001-09-05,San Marino,Croatia,0,4,FIFA World Cup qualification,Serravalle,San Marino,False,Croatia,4
24056,2001-09-05,Serbia,Slovenia,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True,Draw,0
24057,2001-09-05,Slovakia,Moldova,4,2,FIFA World Cup qualification,Trenčín,Slovakia,False,Slovakia,2
24058,2001-09-05,Turkey,Sweden,1,2,FIFA World Cup qualification,Istanbul,Turkey,False,Sweden,1
24059,2001-09-05,Ukraine,Armenia,3,0,FIFA World Cup qualification,L'viv,Ukraine,False,Ukraine,3
24060,2001-09-06,Bahrain,Thailand,1,1,FIFA World Cup qualification,Riffa,Bahrain,False,Draw,0
24061,2001-09-07,Iraq,Iran,1,2,FIFA World Cup qualification,Baghdad,Iraq,False,Iran,1
24062,2001-09-07,Qatar,China,1,1,FIFA World Cup qualification,Doha,Qatar,False,Draw,0
24063,2001-09-07,Saudi Arabia,United Arab Emirates,0,2,Friendly,Dammam,Saudi Arabia,False,United Arab Emirates,2
24064,2001-09-08,Uzbekistan,Oman,5,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,Uzbekistan,5
24065,2001-09-13,Korea Republic,Nigeria,2,2,Friendly,Daejeon,Korea Republic,False,Draw,0
24066,2001-09-14,Iran,Bahrain,0,0,FIFA World Cup qualification,Teheran,Iran,False,Draw,0
24067,2001-09-14,Oman,United Arab Emirates,1,1,FIFA World Cup qualification,Muscat,Oman,False,Draw,0
24068,2001-09-14,Qatar,Iraq,0,0,Friendly,Doha,Qatar,False,Draw,0
24069,2001-09-15,China,Uzbekistan,2,0,FIFA World Cup qualification,Shenyang,China,False,China,2
24070,2001-09-15,Thailand,Saudi Arabia,1,3,FIFA World Cup qualification,Bangkok,Thailand,False,Saudi Arabia,2
24071,2001-09-16,Angola,Zimbabwe,0,0,COSAFA Cup,Luanda,Angola,False,Draw,0
24072,2001-09-16,Korea Republic,Nigeria,2,1,Friendly,Busan,Korea Republic,False,Korea Republic,1
24073,2001-09-21,Bahrain,Saudi Arabia,0,4,FIFA World Cup qualification,Riffa,Bahrain,False,Saudi Arabia,4
24074,2001-09-21,Oman,Qatar,0,3,FIFA World Cup qualification,Muscat,Oman,False,Qatar,3
24075,2001-09-22,Thailand,Iraq,1,1,FIFA World Cup qualification,Bangkok,Thailand,False,Draw,0
24076,2001-09-22,Uzbekistan,United Arab Emirates,0,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False,United Arab Emirates,1
24077,2001-09-27,United Arab Emirates,China,0,1,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,China,1
24078,2001-09-28,Iraq,Bahrain,1,0,FIFA World Cup qualification,Baghdad,Iraq,False,Iraq,1
24079,2001-09-28,Qatar,Uzbekistan,2,2,FIFA World Cup qualification,Doha,Qatar,False,Draw,0
24080,2001-09-28,Saudi Arabia,Iran,2,2,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,Draw,0
24081,2001-09-29,Thailand,Oman,2,0,Friendly,Bangkok,Thailand,False,Thailand,2
24082,2001-10-04,Japan,Senegal,0,2,Friendly,Lens,France,True,Senegal,2
24083,2001-10-04,Qatar,United Arab Emirates,1,2,FIFA World Cup qualification,Doha,Qatar,False,United Arab Emirates,1
